STATE,YEAR,POPULATION,URBAN,RURAL,Population Males,Population Females,Total Literacy,Male Literacy,Female Literacy,Literacy Rate,Male Literacy,Female Literacy,"Area
 (In sq. km)",TOTAL CRIMES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
TRIPURA,2012,3721388.4,1003023.3,2718365.1,1897591.1,1823797.3,3296257,1776828,1540416,88.58%,93.64%,84.46%,10486,12528,248,158,4,458,0,458,278,228,50,14,0,120,478,1130,280,850,256,94,210,18,118,3008,74,628,14,1716,0,20,3484
MEGHALAYA,2012,3031695.7,609583.9,2422111.8,1523406.5,1508289.2,2290204,1171972,1118215,75.54%,76.93%,74.14%,22429,5114,274,126,16,328,0,328,184,48,136,104,2,92,290,1086,304,782,0,88,216,26,122,314,2,86,0,32,0,204,1522
ASSAM,2012,31660580.8,4494472.2,27166108.6,16155683.6,15504897.2,23106208,12672841,10433866,72.98%,78.44%,67.29%,78438,155364,2736,1340,108,3432,0,3432,7624,6720,904,532,14,1814,7650,18788,5440,13348,10154,2556,3410,122,5660,13352,280,3680,10,12814,4,5130,54154
WEST BENGAL,2012,92386106.8,29759577.1,62626529.7,47343331.2,45042775.6,71205668,38869348,32238015,77.07%,82.10%,71.57%,88752,322854,4504,5708,1044,4092,0,4092,10234,8336,1898,558,1750,1632,928,45982,10316,35666,13222,2782,10600,704,792,31846,1186,6690,1112,39730,24,8770,128964
JHARKHAND,2012,33592364.5,8126993,25465371.5,17234842.8,16357521.7,22721204,13396643,9327713,67.64%,77.73%,57.02%,79716,81892,3388,1684,184,1624,0,1624,2112,1572,540,568,66,988,2432,13360,4430,8930,4662,1278,3132,28,272,9570,604,568,20,2522,6,3188,29636
ODISHA,2012,42491173.8,7152297.8,35338876,21467292.6,21023881.2,31356787,17636240,13731538,73.80%,82.15%,65.31%,155707,135914,3096,3758,108,2916,0,2916,3084,2728,356,804,198,3226,6860,19260,6420,12840,4410,634,3214,38,938,16446,1050,8374,608,5276,0,7210,44406
CHHATTISGARH,2012,26016337.5,6112386,19903951.5,13068762.7,12947574.8,18416965,10521792,7901128,70.79%,80.51%,61.02%,135192,109196,1996,1186,52,2068,0,2068,900,700,200,128,8,824,6668,10682,4716,5966,1820,340,1850,106,660,21710,162,3202,324,1960,0,5776,46774
MADHYA PRADESH,2012,73854687.6,20479631,53375056.6,38229171.4,35625516.2,51580852,30171609,21423760,69.84%,78.92%,60.14%,308252,440670,4746,4664,228,6850,0,6850,2604,2254,350,214,254,3880,20038,46364,24558,21806,3902,1152,4042,62,1628,71098,1486,13310,1548,7976,12,15442,229170
GUJARAT,2012,61416559.5,26426566.3,34989993.2,32001828.3,29414731.2,48418359,27609577,20822100,78.84%,86.28%,70.79%,196244,260242,2252,1114,86,946,0,946,3440,3054,386,574,38,2732,9390,31904,18114,13790,3516,2480,2722,432,564,20468,42,1490,186,13316,0,11146,151404
Daman and Diu,2012,251751.3,195401.3,56350,156079.9,95671.4,220788,143366,76985,87.70%,91.85%,80.47%,111,478,6,10,0,10,0,10,6,0,6,2,0,6,52,110,84,26,18,12,16,0,22,34,0,0,0,6,0,76,92
Dadra and Nagar Haveli,2012,356030.9,171608.2,184422.7,200969.4,155061.5,277601,173547,103043,77.97%,86.36%,66.45%,491,636,14,4,0,6,0,6,26,18,8,4,0,4,44,136,72,64,22,20,8,0,24,50,0,4,0,0,0,46,224
MAHARASHTRA,2012,113923903.6,51789986.9,62133916.7,59027302,54896601.6,94382536,52292877,42108987,82.85%,88.59%,76.71%,307713,405400,5424,4336,342,3678,0,3678,3166,2280,886,1586,644,13898,31296,94952,35710,59242,17720,3800,18796,582,2492,56784,658,7870,2588,14830,0,26622,93336
ANDHRA PRADESH,2012,85417854,28960088.5,56457765.5,42833619.3,42584234.7,57751865,32246434,25528397,67.61%,75.28%,59.95%,275045,385044,5434,4366,316,2682,0,2682,3740,2806,934,262,2,1336,16884,54950,16072,38878,3756,2542,22004,520,1960,113536,1008,9632,7428,26778,0,27858,78050
KARNATAKA,2012,61919770.5,24192405.3,37727365.2,31373430.9,30546339.6,47177912,26067556,21120656,76.19%,83.09%,69.14%,191791,268042,3720,3846,142,1242,0,1242,2902,2140,762,422,1072,4414,11584,36836,17772,19064,15004,802,11644,168,832,40700,436,5956,200,7368,64,1752,116936
GOA,2012,1469632.7,930437.7,539195,744329.2,725303.5,1312940,692427,620678,89.34%,93.03%,85.58%,3702,7216,90,70,6,110,0,110,48,32,16,12,0,50,712,1830,600,1230,244,128,410,32,68,532,0,98,32,48,0,466,2230
LAKSHADWEEP,2012,64855.3,52668.5,12186.8,33322.2,31533.1,59850,31923,27935,92.28%,95.80%,88.59%,30,120,0,0,0,0,0,0,0,0,0,0,0,0,6,14,2,12,20,0,0,0,6,6,0,2,0,2,0,0,64
KERALA,2012,33562529.7,16701726.1,16860803.6,16083291.8,17479237.9,31652151,15488371,15974450,94.31%,96.30%,91.39%,38852,317978,748,994,214,2038,0,2038,562,428,134,144,578,1450,5420,8156,2524,5632,21876,602,9362,136,1136,42340,64,7470,996,10432,0,96,203164
TAMIL NADU,2012,73121165.1,35660784.2,37460380.9,36611681.6,36509483.5,59046803,31930512,27137134,80.75%,87.21%,74.33%,130060,400948,3898,5908,88,1474,0,1474,3890,3386,504,194,38,3796,8914,23992,7830,16162,6272,524,8302,754,1452,44200,220,2988,764,3930,0,30998,248352
PUDUCHERRY,2012,1275313.8,873166.4,402147.4,625066,650247.8,1100417,571917,528808,86.29%,91.50%,81.32%,490,8562,58,54,24,26,0,26,38,32,6,10,30,32,154,1316,924,392,252,18,180,12,42,1636,0,18,4,12,0,526,4120
Andaman and Nicobar,2012,383023.9,146217,236806.9,203860.9,179163,333901,184881,148963,87.17%,90.69%,83.14%,8249,1366,30,6,0,24,0,24,16,14,2,10,0,4,142,142,0,142,16,10,62,2,8,124,4,34,8,10,0,12,702
